Country_Name,Code,Indicator_Name,Ind_Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,BRB,"International tourism, number of arrivals",ST.INT.ARVL,442000,447000,472000,512000,515000,545000,507000,498000,531000,552000,548000,563000,575000,568000,519000,532000,568000,536000,509000,521000,592000,632000
Brunei Darussalam,BRN,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,119000,126000,158000,179000,226000,157000,214000,242000,209000,225000,201000,218000,219000
Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,4800,5200,5400,6200,7200,7600,6400,5600,6300,9200,13600,17300,21000,28000,23000,41000,66000,105000,116000,133000,155000,210000
Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,521000,512000,607000,750000,843000,1104000,1193000,1274000,1406000,1523000,1474000,1426000,1736000,2101000,1721000,1973000,,1614000,1544000,1966000,1528000,
Central African Republic,CAF,"International tourism, number of arrivals",ST.INT.ARVL,26000,21000,17000,7500,10000,11200,9900,2900,5700,8200,12000,13800,17100,30600,52400,53800,65400,70800,83500,95700,120500,
Canada,CAN,"International tourism, number of arrivals",ST.INT.ARVL,16932000,17286000,17669000,18870000,19411000,19627000,19679000,20057000,17534000,19145000,18771000,18265000,17935000,17142000,15737000,16219000,16014000,16344000,16059000,16537000,17971000,19824000
Switzerland,CHE,"International tourism, number of arrivals",ST.INT.ARVL,6946000,6730000,7039000,7185000,7154000,7821000,7455000,6868000,6530000,,7229000,7863000,8448000,8608000,8294000,8628000,8534000,8566000,8967000,9158000,9305000,9205000
Channel Islands,CHI,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, number of arrivals",ST.INT.ARVL,1540000,1450000,1644000,1759000,1632000,1742000,1723000,1412000,1614000,1785000,2027000,2253000,2507000,2710000,2760000,2801000,3137000,3554000,3576000,3674000,4478000,5641000
China,CHN,"International tourism, number of arrivals",ST.INT.ARVL,20034000,22765000,23770000,25073000,27047000,31229000,33167000,36803000,32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000,55686000,55622000,56886000,59270000
Cote d'Ivoire,CIV,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,182000,205000,231000,252000,270000,289000,380000,471000,1441000,1583000
Cameroon,CMR,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,176000,451000,477000,487000,498000,573000,604000,817000,783000,822000,,
"Congo, Dem. Rep.",COD,"International tourism, number of arrivals",ST.INT.ARVL,35000,37000,30000,53000,80000,103000,55000,28000,35000,36000,61000,55000,47000,50000,53000,81000,186000,167000,191000,,,
"Congo, Rep.",COG,"International tourism, number of arrivals",ST.INT.ARVL,37000,39000,27000,20000,14000,19000,27000,22000,23000,31000,35000,46000,55000,62000,94000,101000,168000,204000,231000,273000,363000,224000
Colombia,COL,"International tourism, number of arrivals",ST.INT.ARVL,1399000,631000,639000,674000,546000,557000,616000,567000,625000,791000,933000,2045000,2254000,2317000,2364000,1405000,2042000,2175000,2288000,2552000,2978000,3317000
Comoros,COM,"International tourism, number of arrivals",ST.INT.ARVL,23000,24000,26000,27000,24000,24000,19400,18900,20600,23300,25900,28500,15200,14800,11300,15300,18800,22800,21900,22800,23600,26800
Cabo Verde,CPV,"International tourism, number of arrivals",ST.INT.ARVL,28000,37000,45000,52000,67000,115000,134000,126000,150000,157000,198000,242000,267000,285000,287000,336000,428000,482000,503000,494000,520000,598000
Costa Rica,CRI,"International tourism, number of arrivals",ST.INT.ARVL,785000,781000,811000,943000,1032000,1088000,1131000,1113000,1239000,1453000,1679000,1725000,1980000,2089000,1923000,2100000,2192000,2343000,2428000,2527000,2660000,2925000
Cuba,CUB,"International tourism, number of arrivals",ST.INT.ARVL,742000,999000,1153000,1390000,1561000,1741000,1736000,1656000,1847000,2017000,2261000,2150000,2119000,2316000,2405000,2507000,2688000,2815000,2829000,2970000,3491000,3968000
Curacao,CUW,"International tourism, number of arrivals",ST.INT.ARVL,224000,214000,205000,199000,198000,191000,205000,218000,221000,223000,222000,234000,300000,409000,367000,342000,390000,421000,441000,452000,468000,441000
Cayman Islands,CYM,"International tourism, number of arrivals",ST.INT.ARVL,361000,373000,381000,404000,395000,354000,334000,303000,294000,260000,168000,267000,292000,303000,272000,288000,309000,322000,345000,383000,385000,385000
Cyprus,CYP,"International tourism, number of arrivals",ST.INT.ARVL,2100000,1950000,2088000,2223000,2434000,2686000,2697000,2418000,2303000,2349000,2470000,2401000,2416000,2404000,2141000,2173000,2392000,2465000,2405000,2441000,2659000,3187000
Czech Republic,CZE,"International tourism, number of arrivals",ST.INT.ARVL,3381000,4558000,4976000,5482000,5610000,4773000,5405000,4743000,5076000,6061000,6336000,6435000,6680000,6649000,6032000,6334000,6715000,7647000,7852000,8096000,8707000,9321000
Germany,DEU,"International tourism, number of arrivals",ST.INT.ARVL,14847000,15205000,15837000,16511000,17116000,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000
Djibouti,DJI,"International tourism, number of arrivals",ST.INT.ARVL,21000,20000,20000,21000,21000,20100,21600,22500,23200,26300,30200,39500,40000,54000,58000,51000,56000,60000,63000,,,
Dominica,DMA,"International tourism, number of arrivals",ST.INT.ARVL,60000,63000,65000,66000,74000,70000,66000,69000,73000,80000,79000,84000,81000,81000,75000,77000,76000,79000,78000,81500,75000,78000
Denmark,DNK,"International tourism, number of arrivals",ST.INT.ARVL,2124000,2125000,2158000,2073000,2023000,3535000,3684000,3436000,3474000,4421000,9587000,9630000,9832000,9564000,9265000,9425000,8471000,8443000,8557000,10267000,10424000,10781000
Dominican Republic,DOM,"International tourism, number of arrivals",ST.INT.ARVL,1776000,1926000,2211000,2309000,2649000,2978000,2882000,2811000,3282000,3450000,3691000,3965000,3980000,3980000,3992000,4125000,4306000,4563000,4690000,5141400,5600000,5959300
Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,520000,605000,635000,678000,749000,866000,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000
Ecuador,ECU,"International tourism, number of arrivals",ST.INT.ARVL,440000,494000,529000,511000,518000,627000,641000,683000,761000,819000,860000,841000,937000,1005000,968000,1047000,1141000,1272000,1364000,1557000,1544000,1418000
"Egypt, Arab Rep.",EGY,"International tourism, number of arrivals",ST.INT.ARVL,2871000,3528000,3656000,3213000,4490000,5116000,4357000,4906000,5746000,7795000,8244000,8646000,10610000,12296000,11914000,14051000,9497000,11196000,9174000,9628300,9139000,5258000
Euro area,EMU,"International tourism, number of arrivals",ST.INT.ARVL,196847000,202466000,217627000,229558000,240992000,255220000,253457000,259072000,257998000,259716000,268230000,284573000,293226000,290324000,277270000,283879000,301030000,307576000,321194000,335866000,351169000,364655000
Eritrea,ERI,"International tourism, number of arrivals",ST.INT.ARVL,315000,417000,410000,188000,57000,70000,113000,101000,80000,87000,83000,78000,81000,70000,79000,84000,107000,129000,141000,119000,114000,142000
Spain,ESP,"International tourism, number of arrivals",ST.INT.ARVL,32971000,34027000,39553000,41892000,45440000,46403000,48565000,50331000,50854000,52430000,55914000,58004000,58666000,57192000,52178000,52677000,56177000,57464000,60675000,64939000,68175000,75315000
Estonia,EST,"International tourism, number of arrivals",ST.INT.ARVL,530000,665000,730000,825000,950000,1220000,1320000,1362000,1462000,1750000,1917000,1940000,1900000,2079000,2059000,2372000,2665000,2744000,2873000,2918000,2989000,3147000
Ethiopia,ETH,"International tourism, number of arrivals",ST.INT.ARVL,103000,109000,139000,112000,115000,136000,148000,156000,180000,184000,227000,330000,358000,383000,427000,468000,523000,597000,681000,770000,864000,871000
Finland,FIN,"International tourism, number of arrivals",ST.INT.ARVL,1779000,1724000,1832000,1867000,1831000,1971000,1999000,2043000,2047000,2083000,2080000,2317000,2472000,2494000,2220000,2319000,2623000,2778000,2797000,2731000,2622000,2789000
Fiji,FJI,"International tourism, number of arrivals",ST.INT.ARVL,318000,340000,359000,371000,410000,294000,348000,398000,431000,504000,545000,549000,540000,585000,542000,632000,675000,661000,659000,693000,755000,792000
France,FRA,"International tourism, number of arrivals",ST.INT.ARVL,60033000,62406000,66591000,70109000,73147000,77190000,75202000,77012000,75048000,74433000,74988000,77916000,80853000,79218000,76764000,76647000,80499000,81980000,83634000,83701000,84452000,82570000
Faroe Islands,FRO,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"International tourism, number of arrivals",ST.INT.ARVL,,17600,17200,13400,16100,20500,15300,19100,18200,19300,19000,19100,21100,25700,47500,44700,35400,38300,42100,35400,31200,29600
Gabon,GAB,"International tourism, number of arrivals",ST.INT.ARVL,125000,145000,167000,195000,178000,155000,169000,208000,222000,244000,269000,,,,,,,,,,,
United Kingdom,GBR,"International tourism, number of arrivals",ST.INT.ARVL,21719000,22936000,23215000,23710000,23341000,23212000,20982000,22307000,22787000,25678000,28039000,30654000,30870000,30142000,28199000,28295000,29306000,29282000,31063000,32613000,34436000,35814000
Georgia,GEO,"International tourism, number of arrivals",ST.INT.ARVL,85000,117000,313000,317000,384000,387000,302000,298000,313000,368000,560000,983000,1052000,1290000,1500000,2032000,2822000,4428000,5392000,5516000,5901000,6361000
Ghana,GHA,"International tourism, number of arrivals",ST.INT.ARVL,286000,305000,325000,348000,373000,399000,439000,483000,531000,584000,429000,497000,587000,698000,803000,931000,821000,903000,994000,825000,897000,
Gibraltar,GIB,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"International tourism, number of arrivals",ST.INT.ARVL,,12000,17000,23000,27000,33000,38000,43000,44000,45000,45000,46100,30000,24000,,12400,131000,96000,56000,33000,35000,
"Gambia, The",GMB,"International tourism, number of arrivals",ST.INT.ARVL,45000,77000,85000,91000,96000,79000,57000,81000,89000,90000,108000,125000,143000,147000,142000,91000,106000,157000,171000,156000,135000,161000
Guinea-Bissau,GNB,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,7800,,,,5000,11600,15600,18000,16000,22300,36700,35400,35500,36100,43800,
Equatorial Guinea,GNQ,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"International tourism, number of arrivals",ST.INT.ARVL,10130000,9233000,10070000,10916000,12164000,13096000,14057000,14180000,13969000,13313000,14765000,16039000,16165000,15939000,14915000,15007000,16427000,15518000,17920000,22033000,23599000,24799000
Grenada,GRD,"International tourism, number of arrivals",ST.INT.ARVL,108000,108000,111000,116000,125000,129000,123000,132000,142000,134000,99000,119000,130000,130000,114000,110000,118000,125000,128000,150000,155000,156000
Greenland,GRL,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"International tourism, number of arrivals",ST.INT.ARVL,563000,520000,576000,636000,823000,826000,835000,884000,880000,1182000,1316000,1502000,1628000,1715000,1393000,1384000,1434000,1491000,1516000,1739000,1865000,1906000
Guam,GUM,"International tourism, number of arrivals",ST.INT.ARVL,1362000,1373000,1382000,1137000,1162000,1287000,1159000,1059000,910000,1160000,1228000,1212000,1225000,1142000,1053000,1197000,1160000,1308000,1334000,1343000,1409000,1535000
Guyana,GUY,"International tourism, number of arrivals",ST.INT.ARVL,106000,92000,76000,66000,75000,105000,99000,104000,101000,122000,117000,113000,134000,130000,141000,152000,157000,177000,158000,206000,207000,235000
"Hong Kong SAR, China",HKG,"International tourism, number of arrivals",ST.INT.ARVL,,,,7137000,7837000,8814000,8878000,10689000,9676000,13655000,14773000,15821000,17154000,17319000,16926000,20085000,22316000,23770000,25661000,27770000,26686000,26553000
Honduras,HND,"International tourism, number of arrivals",ST.INT.ARVL,271000,263000,307000,321000,371000,471000,518000,550000,611000,641000,673000,739000,804000,869000,836000,863000,871000,895000,863000,868000,880000,
Croatia,HRV,"International tourism, number of arrivals",ST.INT.ARVL,1485000,2914000,4178000,4499000,3805000,5831000,6544000,6944000,7409000,7912000,7743000,7988000,8559000,8665000,8694000,9111000,9927000,10369000,10948000,11623000,12683000,13809000
Haiti,HTI,"International tourism, number of arrivals",ST.INT.ARVL,145000,150000,149000,147000,143000,140000,142000,140000,136000,96000,112000,108000,386000,258000,387000,255000,349000,349000,420000,465200,516000,
Hungary,HUN,"International tourism, number of arrivals",ST.INT.ARVL,2878000,2979000,2887000,2871000,2789000,2992000,3070000,3013000,2948000,3270000,3446000,3310000,3451000,3516000,3228000,3462000,3822000,4164000,4388000,4618000,4929000,5302000
Indonesia,IDN,"International tourism, number of arrivals",ST.INT.ARVL,4324000,5034000,5185000,4606000,4728000,5064000,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000
Isle of Man,IMN,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
India,IND,"International tourism, number of arrivals",ST.INT.ARVL,2124000,2288000,2374000,2359000,2482000,2649000,2537000,2384000,2726000,3457000,3919000,4447000,5082000,5283000,5168000,5776000,6309000,6578000,6968000,13107000,13284000,14569000
Ireland,IRL,"International tourism, number of arrivals",ST.INT.ARVL,4818000,5289000,5587000,6064000,6403000,6646000,6353000,6476000,6764000,6953000,7333000,8001000,8332000,8026000,7189000,7134000,7630000,7550000,8260000,8813000,9528000,10100000
"Iran, Islamic Rep.",IRN,"International tourism, number of arrivals",ST.INT.ARVL,568000,693000,860000,1124000,1321000,1342000,1402000,1585000,1546000,1659000,1889000,2735000,2219000,2034000,2116000,2938000,3354000,3834000,4769000,4967000,5237000,4942000
Iraq,IRQ,"International tourism, number of arrivals",ST.INT.ARVL,61000,51000,15000,45000,30000,78000,127000,,,,,,,864000,1262000,1518000,1510000,1111000,892000,,,
Iceland,ISL,"International tourism, number of arrivals",ST.INT.ARVL,190000,201000,202000,232000,263000,303000,301000,285000,317000,360000,374000,422000,485000,502000,494000,489000,566000,673000,807300,997600,1289000,1792000
Israel,ISR,"International tourism, number of arrivals",ST.INT.ARVL,2215000,2100000,2010000,1942000,2312000,2417000,1196000,861900,1063000,1505600,1903000,1825000,2067000,2572000,2321000,2803000,2820000,2886000,2962000,2927000,2799000,2900000
Italy,ITA,"International tourism, number of arrivals",ST.INT.ARVL,31052000,32943000,34692000,34933000,36516000,41181000,39563000,39799000,39604000,37071000,36513000,41058000,43654000,42734000,43239000,43626000,46119000,46360000,47704000,48576000,50732000,52372000
Jamaica,JAM,"International tourism, number of arrivals",ST.INT.ARVL,1147000,1162000,1192000,1225000,1248000,1323000,1277000,1266000,1350000,1415000,1479000,1679000,1701000,1767000,1831000,1922000,1952000,1986000,2008400,2080000,2123000,2182000
Jordan,JOR,"International tourism, number of arrivals",ST.INT.ARVL,1075000,1106000,1132000,1772000,1790000,1580000,1672000,2384000,2353000,2853000,2987000,3225000,3431000,3729000,3789000,4207000,3960000,4162000,3945000,3990000,3761000,3858000
Japan,JPN,"International tourism, number of arrivals",ST.INT.ARVL,3345000,3837000,4218000,4106000,4438000,4757000,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,24040000
Kazakhstan,KAZ,"International tourism, number of arrivals",ST.INT.ARVL,,202000,284000,257000,394000,1683000,2693000,3678000,3237000,4291000,4365000,4707000,5311000,4117000,3774000,4097000,5685000,6163000,6841000,6333000,6430000,6509000
Kenya,KEN,"International tourism, number of arrivals",ST.INT.ARVL,918000,947000,928000,792000,862000,899000,841000,838000,927000,1199000,1399000,1464000,1686000,1141000,1392000,1470000,1750000,1619000,1434000,1261000,1114000,1268000
Kyrgyz Republic,KGZ,"International tourism, number of arrivals",ST.INT.ARVL,36000,42000,87000,59000,48000,59000,99000,140000,342000,398000,319000,766000,1656000,1844000,1394000,855000,2278000,2406000,3076000,2849000,3051000,2930000
Cambodia,KHM,"International tourism, number of arrivals",ST.INT.ARVL,220000,260000,219000,287000,368000,466000,605000,787000,701000,1055000,1422000,1700000,2015000,2125000,2162000,2508000,2882000,3584000,4210000,4503000,4775000,5012000
Kiribati,KIR,"International tourism, number of arrivals",ST.INT.ARVL,3900,4200,5100,5700,5100,4800,4600,4900,4900,3400,4100,4400,4700,3900,3900,4700,5300,4900,5900,5000,3900,5700
St. Kitts and Nevis,KNA,"International tourism, number of arrivals",ST.INT.ARVL,79000,84000,88000,93000,84000,73000,71000,69000,91000,118000,141000,139000,123000,128000,83000,98000,104000,104000,107000,113000,122000,
"Korea, Rep.",KOR,"International tourism, number of arrivals",ST.INT.ARVL,3753000,3684000,3908000,4250000,4660000,5322000,5147000,5347000,4753000,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,11140000,12176000,14202000,13232000,17242000
Kuwait,KWT,"International tourism, number of arrivals",ST.INT.ARVL,72000,76000,79000,77000,84000,78000,73000,96000,94000,91000,104000,185000,293000,259000,297000,207000,269000,300000,307000,,,
Lao PDR,LAO,"International tourism, number of arrivals",ST.INT.ARVL,60000,93000,193000,200000,259000,191000,173000,215000,196000,407000,672000,842000,1142000,1295000,1239000,1670000,1894000,2291000,2700000,3164000,3543000,3315000
Lebanon,LBN,"International tourism, number of arrivals",ST.INT.ARVL,450000,424000,558000,631000,673000,742000,837000,956000,1016000,1278000,1140000,1063000,1017000,1333000,1844000,2168000,1655000,1366000,1274000,1355000,1518000,1688000
Liberia,LBR,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,43000,81000,42000,38000,34000,,,,,,,,
St. Lucia,LCA,"International tourism, number of arrivals",ST.INT.ARVL,231000,236000,248000,252000,264000,270000,250000,253000,277000,298000,318000,303000,287000,296000,278000,306000,312000,307000,319000,338000,345000,348000
Liechtenstein,LIE,"International tourism, number of arrivals",ST.INT.ARVL,59000,56000,57000,59000,60000,61600,56500,48700,49000,48500,49800,54900,58300,58500,52300,49800,53300,53600,52400,53700,48600,60000
Sri Lanka,LKA,"International tourism, number of arrivals",ST.INT.ARVL,403000,302000,366000,381000,436000,400000,337000,393000,501000,566000,549000,560000,494000,438000,448000,654000,856000,1006000,1275000,1527000,1798000,2051000
Lesotho,LSO,"International tourism, number of arrivals",ST.INT.ARVL,209000,312000,313000,290000,308000,302000,295000,287000,329000,304000,304000,357000,300000,293000,344000,426000,398000,423000,433000,1079000,1082000,1196000
Lithuania,LTU,"International tourism, number of arrivals",ST.INT.ARVL,650000,832000,1012000,1416000,1422000,1083000,1271000,1428000,1491000,1800000,2000000,2180000,1486000,1611000,1341000,1507000,1775000,1900000,2012000,2063000,2071000,2296000
Luxembourg,LUX,"International tourism, number of arrivals",ST.INT.ARVL,768000,724000,778000,789000,863000,852000,836000,885000,867000,878000,913000,908000,914000,877000,847000,805000,874000,950000,945000,1038000,1090000,1054000
Latvia,LVA,"International tourism, number of arrivals",ST.INT.ARVL,539000,565000,635000,576000,544000,509000,591000,848000,971000,1079000,1116000,1535000,1653000,1684000,1323000,1373000,1493000,1435000,1536000,1843000,2024000,1793000
"Macao SAR, China",MAC,"International tourism, number of arrivals",ST.INT.ARVL,4202000,4690000,3836000,4517000,5050000,5197000,5842000,6565000,6309000,8324000,9014000,10683000,12945000,10610000,10402000,11926000,12925000,13577000,14268000,14566000,14308000,15703600
St. Martin (French part),MAF,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"International tourism, number of arrivals",ST.INT.ARVL,2602000,2693000,3072000,3095000,3817000,4278000,4380000,4453000,4761000,5477000,5843000,6558000,7408000,7879000,8341000,9288000,9342000,9375000,10046000,10283000,10177000,10332000
Monaco,MCO,"International tourism, number of arrivals",ST.INT.ARVL,233000,226000,259000,278000,278000,300000,270000,263000,235000,250000,286000,313000,328000,324000,265000,279000,295000,292000,328000,329000,331000,336000
Moldova,MDA,"International tourism, number of arrivals",ST.INT.ARVL,32000,29000,21000,19000,14000,18000,16000,18000,21000,69000,67000,63000,70000,73000,60000,64000,75000,89000,95600,93900,94400,121000
Madagascar,MDG,"International tourism, number of arrivals",ST.INT.ARVL,75000,83000,101000,121000,138000,160000,170000,62000,139000,229000,277000,312000,344000,375000,163000,196000,225000,256000,196000,222000,244000,293000
Maldives,MDV,"International tourism, number of arrivals",ST.INT.ARVL,315000,339000,366000,396000,430000,467000,461000,485000,564000,617000,395000,602000,676000,683000,656000,792000,931000,958000,1125000,1205000,1234000,1286000
Mexico,MEX,"International tourism, number of arrivals",ST.INT.ARVL,20241000,21395000,19351000,19392000,19043000,20641000,19810000,19667000,18665000,20618000,21915000,21353000,21606000,22931000,22346000,23290000,23403000,23403000,24151000,29346000,32093000,35079000
Marshall Islands,MHL,"International tourism, number of arrivals",ST.INT.ARVL,5500,6200,6400,6400,4600,5200,5400,6000,7200,9000,9200,5800,7200,6000,5400,4600,4600,4600,,4900,6300,9800
"Macedonia, FYR",MKD,"International tourism, number of arrivals",ST.INT.ARVL,147000,136000,121000,157000,181000,224000,99000,123000,158000,165000,197000,202000,230000,255000,259000,262000,327000,351000,400000,425000,486000,510000
Mali,MLI,"International tourism, number of arrivals",ST.INT.ARVL,42000,98000,75000,83000,82000,86000,89000,96000,110000,113000,143000,153000,164000,190000,160000,169000,160000,134000,142000,168000,159300,173200
Malta,MLT,"International tourism, number of arrivals",ST.INT.ARVL,1116000,1054000,1111000,1182000,1214000,1216000,1180000,1134000,1127000,1156000,1171000,1124000,1244000,1291000,1182000,1339000,1415000,1443000,1582000,1690000,1783000,1966000
Myanmar,MMR,"International tourism, number of arrivals",ST.INT.ARVL,194000,490000,491000,478000,435000,416000,475000,487000,597000,657000,660000,630000,716000,731000,763000,792000,816000,1059000,2044000,3081000,4681000,2907000
